timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:41:19.379,55.437,640,0.25,8.35,0.0,11.8
1970-01-01 02:41:19.885,55.656,640,0.25,8.30,87.0,11.5
1970-01-01 02:41:20.388,55.875,640,0.25,8.35,88.3,10.7
1970-01-01 02:41:20.894,55.5,640,0.25,8.35,0.0,9.7
1970-01-01 02:41:21.397,55.406,640,0.25,8.35,0.0,9.5
1970-01-01 02:41:21.904,55.468,640,0.25,8.28,0.0,9.3
1970-01-01 02:41:22.408,55.531,640,0.25,8.35,40.3,10.5
1970-01-01 02:41:22.914,55.437,640,0.25,8.35,70.1,10.4
1970-01-01 02:41:23.417,55.656,640,0.25,8.27,0.0,10.2
1970-01-01 02:41:23.923,55.531,640,0.25,8.35,0.0,11.1
1970-01-01 02:41:24.427,55.343,640,0.25,8.35,0.0,11.6
1970-01-01 02:41:24.933,55.593,640,0.25,8.35,91.6,12.0
1970-01-01 02:41:25.437,55.718,640,0.25,8.35,21.3,10.6
1970-01-01 02:41:25.943,55.531,640,0.25,8.35,0.0,8.8
1970-01-01 02:41:26.447,55.5,640,0.25,8.35,0.0,9.5
1970-01-01 02:41:26.954,55.343,640,0.25,8.29,7.5,9.7
1970-01-01 02:41:27.457,55.406,640,0.25,8.35,90.4,11.0
1970-01-01 02:41:27.963,55.281,640,0.25,8.35,0.0,10.4
1970-01-01 02:41:28.467,55.531,640,0.25,8.36,0.0,10.2
1970-01-01 02:41:28.973,55.406,640,0.25,8.35,0.0,10.8
1970-01-01 02:41:29.477,55.406,640,0.25,8.35,53.0,13.1
1970-01-01 02:41:29.983,55.5,640,0.25,8.35,86.8,11.3
1970-01-01 02:41:30.486,55.531,640,0.25,8.35,9.4,10.0
1970-01-01 02:41:30.992,55.406,640,0.25,8.35,0.0,9.5
1970-01-01 02:41:31.495,55.281,640,0.25,8.35,0.0,8.4
1970-01-01 02:41:32.002,55.468,640,0.25,8.35,29.3,10.9
1970-01-01 02:41:32.506,55.312,640,0.25,8.35,81.8,9.3
1970-01-01 02:41:33.012,55.343,640,0.25,8.32,0.0,9.3
1970-01-01 02:41:33.515,55.562,640,0.25,8.31,0.0,9.7
1970-01-01 02:41:34.021,55.343,640,0.25,8.35,0.0,9.7
1970-01-01 02:41:34.525,55.343,640,0.25,8.35,77.1,11.6
1970-01-01 02:41:35.028,55.406,640,0.25,8.35,50.0,10.2
